article_title,article_summary,article_url,date_published
Attorney General Merrick B. Garland Statement on the Shootings of Law Enforcement in North Carolina During U.S. Marshals Task Force Operation,"This afternoon, a Deputy U.S. Marshal and two Task Force Officers were killed in the line of duty and multiple other officers were wounded while serving a state arrest warrant on a fugitive in Charlotte, North Carolina.",https://www.justice.gov//opa/pr/attorney-general-merrick-b-garland-statement-shootings-law-enforcement-north-carolina-during,2024-04-29
Justice Department Recovers Fraudulent Transfer of Proceeds Arising from Kickback Scheme,"The Justice Department announced today that it reached a settlement worth over $16 million with Floyd Calhoun Dent, III arising from a health care fraud judgment against Dent as well as fraudulent transfer claims against Dent, certain members of his family, his family trust and several corporations owned or controlled by Dent that received millions in assets that were the proceeds of the fraud.",https://www.justice.gov//opa/pr/justice-department-recovers-fraudulent-transfer-proceeds-arising-kickback-scheme-0,2024-04-29
"Justice Department Secures Agreement to Resolve Sexual Harassment Lawsuit Against Savannah, Georgia, Landlord","The Justice Department announced today that Iraj Shambayati, a landlord who owns and manages over 45 residential properties in and around Savannah, Georgia, has agreed to pay $600,000 to resolve allegations that he violated the Fair Housing Act (FHA) by sexually harassing and retaliating against his female tenants for over 15 years.",https://www.justice.gov//opa/pr/justice-department-secures-agreement-resolve-sexual-harassment-lawsuit-against-savannah,2024-04-29
Former NSA Employee Sentenced to Over 21 Years in Prison for Attempted Espionage,"Jareh Sebastian Dalke, 32, of Colorado Springs, was sentenced today to 262 months in prison for attempted espionage in connections with his efforts to transmit classified National Defense Information (NDI) to an agent of the Russian Federation.",https://www.justice.gov//opa/pr/former-nsa-employee-sentenced-over-21-years-prison-attempted-espionage,2024-04-29
The Justice Department Supports More Competition and Lower Prices for Communications from Jails and Prisons,The Justice Department’s Antitrust Division today filed comments with the Federal Communications Commission (FCC) in support of efforts to lower prices and improve the quality of incarcerated people’s communications services (IPCS).,https://www.justice.gov//opa/pr/justice-department-supports-more-competition-and-lower-prices-communications-jails-and,2024-04-29
Two Former Missouri Health Care Charity Executives Sentenced for Roles in Multimillion-Dollar Bribery and Embezzlement Scheme,"Two former executives of a Springfield, Missouri-based charity were sentenced for their roles in a multimillion-dollar public corruption scheme that involved embezzlement and bribes paid to multiple elected public officials in the State of Arkansas.",https://www.justice.gov//opa/pr/two-former-missouri-health-care-charity-executives-sentenced-roles-multimillion-dollar,2024-04-29
Readout of Pardon Attorney’s Outreach Efforts During Second Chance Month,"During the month of April, which is recognized as Second Chance month, the Office of the Pardon Attorney hosted a number of events to highlight opportunities for both currently incarcerated and formerly incarcerated individuals. On Monday, April 22, and Tuesday, April 23, Pardon Attorney Elizabeth G. Oyer and staff members of the Office of the Pardon Attorney held a series of meetings and trainings in partnership with the Federal Bureau of Prisons (FBOP) as part of the department’s initiative to increase the accessibility and transparency of the clemency process through education and community",https://www.justice.gov//opa/pr/readout-pardon-attorneys-outreach-efforts-during-second-chance-month,2024-04-29
Laboratory Marketer and North Carolina Physicians Agree to Pay Over $1.3M to Settle Kickback Allegations,"Laboratory marketer Thomas Anthony Carnaggio, of Irmo, South Carolina, and his marketing company, as well as three physicians in Charlotte, North Carolina, Steven Bauer, M.D., Larry Berman, M.D. and Alireza Nami, M.D., and their medical practices, have agreed to pay a total of $1,373,400 to resolve alleged False Claims Act violations arising from their involvement in laboratory kickback schemes. The parties have agreed to cooperate with the Justice Department’s investigations of other participants in the alleged schemes.",https://www.justice.gov//opa/pr/laboratory-marketer-and-north-carolina-physicians-agree-pay-over-13m-settle-kickback,2024-04-29
California-Based Nursing Home Chain and Two Executives to Pay $7M to Settle Alleged False Claims for Nursing Home Residents Who Merely Had Been Near Other People With COVID-19,"The United States and the State of California have reached a $7,084,000 civil settlement with ReNew Health Group LLC, ReNew Health Consulting Services LLC and two corporate executives for knowingly submitting false Medicare Part A claims for nursing home residents.",https://www.justice.gov//opa/pr/california-based-nursing-home-chain-and-two-executives-pay-7m-settle-alleged-false-claims,2024-04-26
Former Maryland Tax Preparer Sentenced for Preparing False Returns,A Minnesota woman was sentenced to 15 months in prison for preparing false tax returns on behalf of her clients.,https://www.justice.gov//opa/pr/former-maryland-tax-preparer-sentenced-preparing-false-returns,2024-04-26
Williams-Sonoma Ordered to Pay Record Civil Penalty for Violating an Administrative Order Prohibiting its Marketing of Imported Goods as Made in the USA,"The Justice Department, together with the Federal Trade Commission (FTC), announced that Williams-Sonoma Inc. (Williams-Sonoma) has agreed to a settlement that requires it to pay more than $3 million in civil penalties and stop making false and misleading claims about the origins of its products.",https://www.justice.gov//opa/pr/williams-sonoma-ordered-pay-record-civil-penalty-violating-administrative-order-prohibiting,2024-04-26
Readout of Disruptive Technology Protection Network Summit with Japan and the Republic of Korea,"Yesterday, the Departments of Justice and Commerce launched the Disruptive Technology Protection Network with Japan and the Republic of Korea (ROK), hosting the first high-level trilateral summit in Washington, D.C.",https://www.justice.gov//opa/pr/readout-disruptive-technology-protection-network-summit-japan-and-republic-korea,2024-04-26
Williams-Sonoma Ordered to Pay Record Civil Penalty for Violating an Administrative Order Prohibiting its Marketing of Imported Goods as Made in the USA,"The Justice Department, together with the Federal Trade Commission (FTC), announced that Williams-Sonoma Inc. (Williams-Sonoma) has agreed to a settlement that requires it to pay more than $3 million in civil penalties and stop making false and misleading claims about the origins of its products.",https://www.justice.gov//opa/pr/williams-sonoma-ordered-pay-record-civil-penalty-violating-administrative-order-prohibiting,2024-04-26
Maryland Payroll Company Owner Pleads Guilty to Employment Tax Crimes and Embezzling from Employees’ 401(k) Plans,A Maryland woman pleaded guilty to failing to pay employment taxes to the IRS and embezzling from an employee benefit plan.,https://www.justice.gov//opa/pr/maryland-payroll-company-owner-pleads-guilty-employment-tax-crimes-and-embezzling-employees,2024-04-26
Doctor Convicted for $5.4M Medicare Fraud Scheme,,https://www.justice.gov//opa/pr/doctor-convicted-54m-medicare-fraud-scheme,2024-04-26
Justice Department and FTC Submit Joint Comment to FERC Explaining that Common Ownership by Investment Companies Can Raise Competition Concerns,The Justice Department’s Antitrust Division and Federal Trade Commission (FTC) today jointly submitted a public comment to the Federal Energy Regulatory Commission (FERC) urging it to consider the competitive risks of common ownership when assessing acquisitions involving less than a controlling interest in competing firms.,https://www.justice.gov//opa/pr/justice-department-and-ftc-submit-joint-comment-ferc-explaining-common-ownership-investment,2024-04-25
Florida Man Sentenced for Racially Motivated Attacks on Two Black Women,A Florida man was sentenced yesterday to 60 months in prison followed by three years of supervised release for committing two federal hate crimes by attacking two Black women with a gun.,https://www.justice.gov//opa/pr/florida-man-sentenced-racially-motivated-attacks-two-black-women,2024-04-25
Four More Co-Conspirators Charged in Alleged Nationwide Abusive-Trust Tax Shelter Scheme,A superseding indictment was returned by a federal grand jury in Denver that charged four people with conspiring with Larry Conner and Timothy McPhee to defraud the IRS. Connor and McPhee had previously been indicted for conspiring to defraud the IRS related to the same scheme in September 2023.,https://www.justice.gov//opa/pr/four-more-co-conspirators-charged-alleged-nationwide-abusive-trust-tax-shelter-scheme,2024-04-25
Tax Attorneys and Insurance Agent Convicted in Tax Shelter Scheme,"A federal jury in Charlotte, North Carolina, convicted two tax attorneys and an insurance agent of conspiring to defraud the United States and helping clients file false tax returns based on their promotion and operation of a fraudulent tax shelter.",https://www.justice.gov//opa/pr/tax-attorneys-and-insurance-agent-convicted-tax-shelter-scheme,2024-04-25
Justice Department Seeks Injunction Against California Tax Return Preparer for Allegedly Filing Fraudulent Returns,The Justice Department filed a civil complaint in the U.S. District Court for the Eastern District of California against a California tax return preparer.,https://www.justice.gov//opa/pr/justice-department-seeks-injunction-against-california-tax-return-preparer-allegedly-filing,2024-04-25
