article_title,article_summary,article_url,date_published,cleaned_title_summary,label
Attorney General Merrick B. Garland Statement on the Extradition of Néstor Isidro Pérez Salas,"The Justice Department issued the following statement from Attorney General Merrick B. Garland on the extradition of Néstor Isidro Pérez Salas, also known as “El Nini”:",https://www.justice.gov//opa/pr/attorney-general-merrick-b-garland-statement-extradition-nestor-isidro-perez-salas,2024-05-25,attorney general merrick b. garland statement extradition néstor isidro pérez sala justice department issue follow statement attorney general merrick b. garland extradition néstor isidro pérez sala know el nini,False
Manager of Mexico-Based Drug Trafficking Organization Sentenced to More Than 20 Years in Prison for International Methamphetamine Trafficking and Money Laundering,"A manager of a Mexico-based drug trafficking organization was sentenced today to 21 years and 10 months in prison and ordered to forfeit $1,339,500 for his role in an international drug trafficking conspiracy.",https://www.justice.gov//opa/pr/manager-mexico-based-drug-trafficking-organization-sentenced-more-20-years-prison,2024-05-24,"manager mexico base drug trafficking organization sentence 20 year prison international methamphetamine trafficking money laundering manager mexico base drug trafficking organization sentence today 21 year 10 month prison order forfeit $ 1,339,500 role international drug trafficking conspiracy",True
Readout of Acting Associate Attorney General Benjamin C. Mizer’s Trip to the  Navajo Nation and to the Pueblo of Acoma,"On Tuesday, May 21, and Wednesday, May 22, Acting Associate Attorney General Benjamin C. Mizer (AASG Mizer or Acting Associate) visited Window Rock, Arizona, and the Pueblo of Acoma in New Mexico to participate in government-to-government meetings with Tribal leaders and other officials from the Navajo Nation and the Pueblo of Acoma. He also toured the Tribes’ facilities to learn more about government services offered to the Tribes’ members and met with law enforcement officers, victims’ advocates, and other stakeholders.",https://www.justice.gov//opa/pr/readout-acting-associate-attorney-general-benjamin-c-mizers-trip-navajo-nation-and-pueblo,2024-05-24,readout act associate attorney general benjamin c. mizer trip navajo nation pueblo acoma tuesday 21 wednesday 22 act associate attorney general benjamin c. mizer aasg mizer acting associate visit window rock arizona pueblo acoma new mexico participate government government meeting tribal leader official navajo nation pueblo acoma tour tribe facility learn government service offer tribe member meet law enforcement officer victim advocate stakeholder,False
California Man Arrested for Making Violent Threats Against North Carolinians,"A Huntington Beach, California, man was arrested today on federal charges relating to sending threats to individuals and knowingly making false bomb threats. Kevin Dunlow, age 62, is charged in a complaint unsealed today in the U.S. District Court of the Eastern District of North Carolina following his arrest in California. He will have his initial appearance today, and his detention hearing will be set at a later date.",https://www.justice.gov//opa/pr/california-man-arrested-making-violent-threats-against-north-carolinians,2024-05-24,california man arrest make violent threat north carolinian huntington beach california man arrest today federal charge relate send threat individual knowingly make false bomb threat kevin dunlow age 62 charge complaint unseal today u.s district court eastern district north carolina follow arrest california initial appearance today detention hearing set later date,False
Former CIA Officer Pleads Guilty to Conspiracy to Commit Espionage,"Alexander Yuk Ching Ma, 71, of Honolulu, a former Central Intelligence Agency (CIA) officer, pleaded guilty today to conspiring to gather and deliver national defense information to the People’s Republic of China (PRC).",https://www.justice.gov//opa/pr/former-cia-officer-pleads-guilty-conspiracy-commit-espionage-0,2024-05-24,cia officer plead guilty conspiracy commit espionage alexander yuk ching ma 71 honolulu central intelligence agency cia officer plead guilty today conspire gather deliver national defense information people republic china prc,True
Doctor Convicted of $70M Medicare Fraud Scheme,A federal jury convicted a Texas doctor today for causing the submission of over $70 million in fraudulent claims to Medicare for medically unnecessary orthotic braces and genetic tests ordered through a telemarketing scheme.,https://www.justice.gov//opa/pr/doctor-convicted-70m-medicare-fraud-scheme,2024-05-24,doctor convict $ 70 m medicare fraud scheme federal jury convict texas doctor today cause submission $ 70 million fraudulent claim medicare medically unnecessary orthotic brace genetic test order telemarketing scheme,True
Owner of Arkansas Tree Service Business Pleads Guilty to Tax Fraud,An Arkansas man pleaded guilty to filing a false individual income tax return.,https://www.justice.gov//opa/pr/owner-arkansas-tree-service-business-pleads-guilty-tax-fraud,2024-05-24,owner arkansas tree service business plead guilty tax fraud arkansas man plead guilty file false individual income tax return,True
Florida Businessman Daniel Hurt to Pay Over $27 Million for Medicare Fraud in Connection with Cancer Genomic Tests,"Daniel Hurt, who owned and/or operated Fountain Health Services LLC, Verify Health, Landmark Diagnostics LLC, First Choice Laboratory LLC and Sonoran Desert Pathology Associates LLC, has agreed to pay over $27 million to resolve allegations that he and his companies conspired with others to violate the False Claims Act (FCA) by submitting false claims to, and receiving payments from, Medicare for cancer genomic (CGx) tests that were not medically necessary and were procured through illegal kickbacks. Hurt, Fountain Health, Verify Health, Landmark Diagnostics, First Choice and Sonoran Desert",https://www.justice.gov//opa/pr/florida-businessman-daniel-hurt-pay-over-27-million-medicare-fraud-connection-cancer-genomic,2024-05-24,florida businessman daniel hurt pay $ 27 million medicare fraud connection cancer genomic test daniel hurt own and/or operate fountain health service llc verify health landmark diagnostic llc choice laboratory llc sonoran desert pathology associates llc agree pay $ 27 million resolve allegation company conspire violate false claim act fca submit false claim receive payment medicare cancer genomic cgx test medically necessary procure illegal kickback hurt fountain health verify health landmark diagnostic choice sonoran desert,True
"Justice Department Secures Agreement to Address Language Barriers for Families in the Cherry Creek, Colorado, School District","The Justice Department announced today that it secured a settlement agreement with the Cherry Creek School District (CCSD), one of the largest school districts in Colorado, to significantly improve language access services for parents with limited English proficiency. The agreement resolves allegations that the district failed to communicate with these parents in a language they could understand, denying them important information about their children’s education.",https://www.justice.gov//opa/pr/justice-department-secures-agreement-address-language-barriers-families-cherry-creek,2024-05-23,justice department secure agreement address language barrier family cherry creek colorado school district justice department announce today secure settlement agreement cherry creek school district ccsd large school district colorado significantly improve language access service parent limited english proficiency agreement resolve allegation district fail communicate parent language understand deny important information child education,False
United States Reaches Over $310 Million Settlement with Norfolk Southern to Address Harms Caused by East Palestine Train Derailment,"The Justice Department and Environmental Protection Agency (EPA) announced a settlement valued at over $310 million with Norfolk Southern Railway Company holding the company accountable to address and pay for the damage caused by the Feb. 3, 2023, train derailment in East Palestine, Ohio. If the settlement is approved by the U.S. District Court for the Northern District of Ohio, Norfolk Southern will be required to take measures to improve rail safety, pay for health monitoring and mental health services for the surrounding communities, fund long-term environmental monitoring, pay a $15",https://www.justice.gov//opa/pr/united-states-reaches-over-310-million-settlement-norfolk-southern-address-harms-caused-east,2024-05-23,united states reach $ 310 million settlement norfolk southern address harm cause east palestine train derailment justice department environmental protection agency epa announce settlement value $ 310 million norfolk southern railway company hold company accountable address pay damage cause feb 3 2023 train derailment east palestine ohio settlement approve u.s district court northern district ohio norfolk southern require measure improve rail safety pay health monitoring mental health service surround community fund long term environmental monitoring pay $ 15,True
